2008,"Guelph, Ontario","Total, all violations",Total, youth not charged,v53094751,46.1.13,573.00
2009,"Guelph, Ontario","Total, all violations",Total, youth not charged,v53094751,46.1.13,347.00
2010,"Guelph, Ontario","Total, all violations",Total, youth not charged,v53094751,46.1.13,370.00
2011,"Guelph, Ontario","Total, all violations",Total, youth not charged,v53094751,46.1.13,343.00
2012,"Guelph, Ontario","Total, all violations",Total, youth not charged,v53094751,46.1.13,411.00
2013,"Guelph, Ontario","Total, all violations",Total, youth not charged,v53094751,46.1.13,336.00
2014,"Guelph, Ontario","Total, all violations",Total, youth not charged,v53094751,46.1.13,263.00
2015,"Guelph, Ontario","Total, all violations",Total, youth not charged,v53094751,46.1.13,224.00
2005,"Guelph, Ontario","Total, all violations",Rate, youth not charged per 100000 population aged 12 to 17 years,v53094752,46.1.14,..
2006,"Guelph, Ontario","Total, all violations",Rate, youth not charged per 100000 population aged 12 to 17 years,v53094752,46.1.14,3675.18
2007,"Guelph, Ontario","Total, all violations",Rate, youth not charged per 100000 population aged 12 to 17 years,v53094752,46.1.14,5465.19
2008,"Guelph, Ontario","Total, all violations",Rate, youth not charged per 100000 population aged 12 to 17 years,v53094752,46.1.14,6206.67
2009,"Guelph, Ontario","Total, all violations",Rate, youth not charged per 100000 population aged 12 to 17 years,v53094752,46.1.14,3781.19
2010,"Guelph, Ontario","Total, all violations",Rate, youth not charged per 100000 population aged 12 to 17 years,v53094752,46.1.14,4069.06
2011,"Guelph, Ontario","Total, all violations",Rate, youth not charged per 100000 population aged 12 to 17 years,v53094752,46.1.14,3769.23
2012,"Guelph, Ontario","Total, all violations",Rate, youth not charged per 100000 population aged 12 to 17 years,v53094752,46.1.14,4565.14
2013,"Guelph, Ontario","Total, all violations",Rate, youth not charged per 100000 population aged 12 to 17 years,v53094752,46.1.14,3803.06
2014,"Guelph, Ontario","Total, all violations",Rate, youth not charged per 100000 population aged 12 to 17 years,v53094752,46.1.14,3033.45
2015,"Guelph, Ontario","Total, all violations",Rate, youth not charged per 100000 population aged 12 to 17 years,v53094752,46.1.14,2618.35
2005,"Guelph, Ontario","Total, all Criminal Code violations (including traffic)",Actual incidents,v52126858,46.2.1,..
2006,"Guelph, Ontario","Total, all Criminal Code violations (including traffic)",Actual incidents,v52126858,46.2.1,5604.00
2007,"Guelph, Ontario","Total, all Criminal Code violations (including traffic)",Actual incidents,v52126858,46.2.1,6019.00
2008,"Guelph, Ontario","Total, all Criminal Code violations (including traffic)",Actual incidents,v52126858,46.2.1,6116.00
2009,"Guelph, Ontario","Total, all Criminal Code violations (including traffic)",Actual incidents,v52126858,46.2.1,6314.00
2010,"Guelph, Ontario","Total, all Criminal Code violations (including traffic)",Actual incidents,v52126858,46.2.1,5506.00
2011,"Guelph, Ontario","Total, all Criminal Code violations (including traffic)",Actual incidents,v52126858,46.2.1,5218.00
2012,"Guelph, Ontario","Total, all Criminal Code violations (including traffic)",Actual incidents,v52126858,46.2.1,5460.00
2013,"Guelph, Ontario","Total, all Criminal Code violations (including traffic)",Actual incidents,v52126858,46.2.1,4769.00
2014,"Guelph, Ontario","Total, all Criminal Code violations (including traffic)",Actual incidents,v52126858,46.2.1,5073.00
2015,"Guelph, Ontario","Total, all Criminal Code violations (including traffic)",Actual incidents,v52126858,46.2.1,5169.00
2005,"Guelph, Ontario","Total, all Criminal Code violations (including traffic)",Rate per 100000 population,v52126864,46.2.2,..
2006,"Guelph, Ontario","Total, all Criminal Code violations (including traffic)",Rate per 100000 population,v52126864,46.2.2,4672.96
2007,"Guelph, Ontario","Total, all Criminal Code violations (including traffic)",Rate per 100000 population,v52126864,46.2.2,4990.75
2008,"Guelph, Ontario","Total, all Criminal Code violations (including traffic)",Rate per 100000 population,v52126864,46.2.2,5023.86
2009,"Guelph, Ontario","Total, all Criminal Code violations (including traffic)",Rate per 100000 population,v52126864,46.2.2,5142.57
2010,"Guelph, Ontario","Total, all Criminal Code violations (including traffic)",Rate per 100000 population,v52126864,46.2.2,4429.32
2011,"Guelph, Ontario","Total, all Criminal Code violations (including traffic)",Rate per 100000 population,v52126864,46.2.2,4151.75
2012,"Guelph, Ontario","Total, all Criminal Code violations (including traffic)",Rate per 100000 population,v52126864,46.2.2,4293.26
2013,"Guelph, Ontario","Total, all Criminal Code violations (including traffic)",Rate per 100000 population,v52126864,46.2.2,3721.16
2014,"Guelph, Ontario","Total, all Criminal Code violations (including traffic)",Rate per 100000 population,v52126864,46.2.2,3922.46
2015,"Guelph, Ontario","Total, all Criminal Code violations (including traffic)",Rate per 100000 population,v52126864,46.2.2,3962.74
2006,"Guelph, Ontario","Total, all Criminal Code violations (including traffic)",Percentage change in rate,v52126863,46.2.3,..
2007,"Guelph, Ontario","Total, all Criminal Code violations (including traffic)",Percentage change in rate,v52126863,46.2.3,6.80
2008,"Guelph, Ontario","Total, all Criminal Code violations (including traffic)",Percentage change in rate,v52126863,46.2.3,0.66
2009,"Guelph, Ontario","Total, all Criminal Code violations (including traffic)",Percentage change in rate,v52126863,46.2.3,2.36
2010,"Guelph, Ontario","Total, all Criminal Code violations (including traffic)",Percentage change in rate,v52126863,46.2.3,-13.87
2011,"Guelph, Ontario","Total, all Criminal Code violations (including traffic)",Percentage change in rate,v52126863,46.2.3,-6.27
2012,"Guelph, Ontario","Total, all Criminal Code violations (including traffic)",Percentage change in rate,v52126863,46.2.3,3.41
2013,"Guelph, Ontario","Total, all Criminal Code violations (including traffic)",Percentage change in rate,v52126863,46.2.3,-13.33
2014,"Guelph, Ontario","Total, all Criminal Code violations (including traffic)",Percentage change in rate,v52126863,46.2.3,5.41
2015,"Guelph, Ontario","Total, all Criminal Code violations (including traffic)",Percentage change in rate,v52126863,46.2.3,1.03
2005,"Guelph, Ontario","Total, all Criminal Code violations (including traffic)",Total cleared,v52126866,46.2.4,..
2006,"Guelph, Ontario","Total, all Criminal Code violations (including traffic)",Total cleared,v52126866,46.2.4,2259.00
2007,"Guelph, Ontario","Total, all Criminal Code violations (including traffic)",Total cleared,v52126866,46.2.4,2531.00
2008,"Guelph, Ontario","Total, all Criminal Code violations (including traffic)",Total cleared,v52126866,46.2.4,2428.00
2009,"Guelph, Ontario","Total, all Criminal Code violations (including traffic)",Total cleared,v52126866,46.2.4,2652.00
2010,"Guelph, Ontario","Total, all Criminal Code violations (including traffic)",Total cleared,v52126866,46.2.4,2782.00
2011,"Guelph, Ontario","Total, all Criminal Code violations (including traffic)",Total cleared,v52126866,46.2.4,2255.00
2012,"Guelph, Ontario","Total, all Criminal Code violations (including traffic)",Total cleared,v52126866,46.2.4,2548.00
2013,"Guelph, Ontario","Total, all Criminal Code violations (including traffic)",Total cleared,v52126866,46.2.4,2459.00
2014,"Guelph, Ontario","Total, all Criminal Code violations (including traffic)",Total cleared,v52126866,46.2.4,2428.00
2015,"Guelph, Ontario","Total, all Criminal Code violations (including traffic)",Total cleared,v52126866,46.2.4,2522.00
2005,"Guelph, Ontario","Total, all Criminal Code violations (including traffic)",Cleared by charge,v52126861,46.2.5,..
2006,"Guelph, Ontario","Total, all Criminal Code violations (including traffic)",Cleared by charge,v52126861,46.2.5,1866.00
2007,"Guelph, Ontario","Total, all Criminal Code violations (including traffic)",Cleared by charge,v52126861,46.2.5,1782.00
2008,"Guelph, Ontario","Total, all Criminal Code violations (including traffic)",Cleared by charge,v52126861,46.2.5,1751.00
2009,"Guelph, Ontario","Total, all Criminal Code violations (including traffic)",Cleared by charge,v52126861,46.2.5,1929.00
2010,"Guelph, Ontario","Total, all Criminal Code violations (including traffic)",Cleared by charge,v52126861,46.2.5,2025.00
2011,"Guelph, Ontario","Total, all Criminal Code violations (including traffic)",Cleared by charge,v52126861,46.2.5,1693.00
2012,"Guelph, Ontario","Total, all Criminal Code violations (including traffic)",Cleared by charge,v52126861,46.2.5,1748.00
2013,"Guelph, Ontario","Total, all Criminal Code violations (including traffic)",Cleared by charge,v52126861,46.2.5,1652.00
2014,"Guelph, Ontario","Total, all Criminal Code violations (including traffic)",Cleared by charge,v52126861,46.2.5,1864.00
2015,"Guelph, Ontario","Total, all Criminal Code violations (including traffic)",Cleared by charge,v52126861,46.2.5,2071.00
2005,"Guelph, Ontario","Total, all Criminal Code violations (including traffic)",Cleared otherwise,v52126862,46.2.6,..
